# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             231   N   0000044e   00018313   00000450   ---        --------
             232   N   00000450   00000205   00000454   x06_t1     0000001a
             233   N   00000454   00004289   00000456   x04_tp     00000002
             234   N   00000456   fe5216e3   00000458   x05_t0     00000002
             235   N   00000458   00004ee9   0000045c   ---        --------
             236   N   0000045c   00004e59   0000045e   x29_t4     0000001a
             237   N   0000045e   1bd31463   00000460   x28_t3     00000016
             238   N   00000460   00004201   00000464   ---        --------
             239   N   00000464   000040b5   00000466   x04_tp     00000000
             240   N   00000466   0000412d   00000468   x01_ra     0000000d
             241   N   00000468   002081b3   0000046a   x02_sp     0000000b
             242   N   0000046a   00000205   0000046e   x03_gp     00000018
             243   N   0000046e   00004289   00000470   x04_tp     00000001
             244   N   00000470   fe521ae3   00000472   x05_t0     00000002
             245   N   00000472   00004ee1   00000466   ---        --------
             248   N   00000466   0000412d   00000468   x01_ra     0000000d
             249   N   00000468   002081b3   0000046a   x02_sp     0000000b
             250   N   0000046a   00000205   0000046e   x03_gp     00000018
             251   N   0000046e   00004289   00000470   x04_tp     00000002
             252   N   00000470   fe521ae3   00000472   x05_t0     00000002
             253   N   00000472   00004ee1   00000476   ---        --------
             254   N   00000476   00004e5d   00000478   x29_t4     00000018
             255   N   00000478   19d19763   0000047a   x28_t3     00000017
             256   N   0000047a   00004201   0000047e   ---        --------
             257   N   0000047e   000040b9   00000480   x04_tp     00000000
             258   N   00000480   0000412d   00000482   x01_ra     0000000e
             259   N   00000482   00000001   00000484   x02_sp     0000000b
             260   N   00000484   002081b3   00000486   ---        --------
             261   N   00000486   00000205   0000048a   x03_gp     00000019
             262   N   0000048a   00004289   0000048c   x04_tp     00000001
             263   N   0000048c   fe5219e3   0000048e   x05_t0     00000002
             264   N   0000048e   00004ee5   00000480   ---        --------
             267   N   00000480   0000412d   00000482   x01_ra     0000000e
             268   N   00000482   00000001   00000484   x02_sp     0000000b
             269   N   00000484   002081b3   00000486   ---        --------
             270   N   00000486   00000205   0000048a   x03_gp     00000019
             271   N   0000048a   00004289   0000048c   x04_tp     00000002
             272   N   0000048c   fe5219e3   0000048e   x05_t0     00000002
             273   N   0000048e   00004ee5   00000492   ---        --------
             274   N   00000492   00004e61   00000494   x29_t4     00000019
             275   N   00000494   17d19963   00000496   x28_t3     00000018
             276   N   00000496   00004201   0000049a   ---        --------
             277   N   0000049a   000040bd   0000049c   x04_tp     00000000
             278   N   0000049c   0000412d   0000049e   x01_ra     0000000f
             279   N   0000049e   00000001   000004a0   x02_sp     0000000b
             280   N   000004a0   00000001   000004a2   ---        --------
             281   N   000004a2   002081b3   000004a4   ---        --------
             282   N   000004a4   00000205   000004a8   x03_gp     0000001a
             283   N   000004a8   00004289   000004aa   x04_tp     00000001
             284   N   000004aa   fe5218e3   000004ac   x05_t0     00000002
             285   N   000004ac   00004ee9   0000049c   ---        --------
             288   N   0000049c   0000412d   0000049e   x01_ra     0000000f
             289   N   0000049e   00000001   000004a0   x02_sp     0000000b
             290   N   000004a0   00000001   000004a2   ---        --------
             291   N   000004a2   002081b3   000004a4   ---        --------
             292   N   000004a4   00000205   000004a8   x03_gp     0000001a
             293   N   000004a8   00004289   000004aa   x04_tp     00000002
             294   N   000004aa   fe5218e3   000004ac   x05_t0     00000002
             295   N   000004ac   00004ee9   000004b0   ---        --------
             296   N   000004b0   00004e65   000004b2   x29_t4     0000001a
             297   N   000004b2   15d19a63   000004b4   x28_t3     00000019
             298   N   000004b4   00004201   000004b8   ---        --------
             299   N   000004b8   000040b5   000004ba   x04_tp     00000000
             300   N   000004ba   00000001   000004bc   x01_ra     0000000d
             301   N   000004bc   0000412d   000004be   ---        --------
             302   N   000004be   002081b3   000004c0   x02_sp     0000000b
             303   N   000004c0   00000205   000004c4   x03_gp     00000018
             304   N   000004c4   00004289   000004c6   x04_tp     00000001
             305   N   000004c6   fe5219e3   000004c8   x05_t0     00000002
             306   N   000004c8   00004ee1   000004ba   ---        --------
             309   N   000004ba   00000001   000004bc   x01_ra     0000000d
             310   N   000004bc   0000412d   000004be   ---        --------
             311   N   000004be   002081b3   000004c0   x02_sp     0000000b
             312   N   000004c0   00000205   000004c4   x03_gp     00000018
             313   N   000004c4   00004289   000004c6   x04_tp     00000002
             314   N   000004c6   fe5219e3   000004c8   x05_t0     00000002
             315   N   000004c8   00004ee1   000004cc   ---        --------
             316   N   000004cc   00004e69   000004ce   x29_t4     00000018
             317   N   000004ce   13d19c63   000004d0   x28_t3     0000001a
             318   N   000004d0   00004201   000004d4   ---        --------
             319   N   000004d4   000040b9   000004d6   x04_tp     00000000
             320   N   000004d6   00000001   000004d8   x01_ra     0000000e
             321   N   000004d8   0000412d   000004da   ---        --------
             322   N   000004da   00000001   000004dc   x02_sp     0000000b
             323   N   000004dc   002081b3   000004de   ---        --------
             324   N   000004de   00000205   000004e2   x03_gp     00000019
             325   N   000004e2   00004289   000004e4   x04_tp     00000001
             326   N   000004e4   fe5218e3   000004e6   x05_t0     00000002
             327   N   000004e6   00004ee5   000004d6   ---        --------
             330   N   000004d6   00000001   000004d8   x01_ra     0000000e
             331   N   000004d8   0000412d   000004da   ---        --------
             332   N   000004da   00000001   000004dc   x02_sp     0000000b
             333   N   000004dc   002081b3   000004de   ---        --------
             334   N   000004de   00000205   000004e2   x03_gp     00000019
             335   N   000004e2   00004289   000004e4   x04_tp     00000002
             336   N   000004e4   fe5218e3   000004e6   x05_t0     00000002
             337   N   000004e6   00004ee5   000004ea   ---        --------
             338   N   000004ea   00004e6d   000004ec   x29_t4     00000019
             339   N   000004ec   11d19d63   000004ee   x28_t3     0000001b
             340   N   000004ee   00004201   000004f2   ---        --------
             341   N   000004f2   000040bd   000004f4   x04_tp     00000000
             342   N   000004f4   00000001   000004f6   x01_ra     0000000f
             343   N   000004f6   00000001   000004f8   ---        --------
